NEIGHBOURHOOD_NAME,MEDIAN_PROP_VALUE,AVG_PROP_VALUE,MEDIAN_PROP_AGEYRS,AVG_PROP_AGEYRS,NUM_ONE_FAMILY_DWELL,NUM_LAND,NUM_STRATA
Shaughnessy,533e4,6648989.719681074,66,59.47034076567101,1411,2017,373
Kerrisdale,4066e3,4580130.719375922,31,44.060315430520035,4398,4413,342
West Point Grey,3529600,5134364.198900811,49,53.58654353562005,3360,3381,439
Dunbar-Southlands,3447700,3887349.9088422973,68,55.679315131883385,4366,4375,19
Arbutus-Ridge,3275150,3590150.905204461,31,43.075243041683315,5575,5681,1861
South Cambie,2674100,3608532.943229167,49,51.59261186264308,3141,3034,884
Oakridge,2578e3,3911303.8034548946,25,32.31447267128561,1422,1477,1143
Marpole,1933550,2095480.6727111898,29,32.9153591160221,1965,2467,2100
Riley Park,1619e3,1904884.263682462,46,53.040812751795414,4923,5041,711
Sunset,1611200,1848366.9909540878,37,40.40306905370844,5422,5698,184
Kensington-Cedar Cottage,1542e3,1670957.6280336801,40,54.11056511056511,1857,3032,1094
Killarney,1532300,1759794.7125349564,30,33.14448763543131,7440,7519,4813
Victoria-Fraserview,1523e3,1665967.3985370952,40,43.77976686094921,3979,4497,327
Kitsilano,1443e3,2118295.2669721656,39,50.312235572854966,1808,4225,7688
Hastings-Sunrise,1439250,1880764.2153199438,50,52.5297661233168,7999,8127,556
Renfrew-Collingwood,1341550,1312142.4915387642,25,34.5320564516129,7973,9916,5480
Grandview-Woodland,1275600,1450658.3986556958,42,53.5905311778291,1551,4573,4244
Mount Pleasant,837e3,1434886.3608181234,23,35.46728280961183,4,2636,8467
Fairview,773e3,1506514.9289793374,32,32.42913838120104,42,638,8966
Downtown,754e3,1825606.280907708,16,17.3392674964293,12,909,38582
West End,728e3,2789317.0331464172,32,34.218317757009345,14,631,7492
